Date,Year,HR,Position,Bout,With Whom,Notes
11/12/2016,2016,Dave Brawlings,HR,Southwest Smackdown JRs at Dollinquents,MVP Julie at SB,
11/12/2016,2016,Erin Judgement,JR,Southwest Smackdown at Wildfires,w/D-Mann,
12/3/2016,2016,Rush2Judge,PT,ACDG JRs at Dollinquents,w/Snow White,
12/3/2016,2016,Dave Brawlings,HR,SDDD Legends White vs. Blue,MVP The Dude Lebowski at PT,
1/28/2017,2017,Rush2Judge,JR,CA Rollers at Sparks,w/Griffin,
2/11/2017,2017,Erin Judgement,PT,Minor Assaults (AZDD) at Dollinquents,w/Leggs 'n Bacon,
2/11/2017,2017,Paff Blue Ribbon,JR,AZDD at Sparks,w/Griffin,
2/11/2017,2017,Dave Brawlings,HR,Hot Shots at Wildfires,MVP Paff for HR in Game 2,
5/13/2017,2017,Paff Blue Ribbon,PT,Mini Tremors at Baby Dolls,w/Pi,
5/13/2017,2017,The Dude,OPR,Zero Chill at Sparks,w/Insubordinamy,
6/3/2017,2017,Paff Blue Ribbon,PT,Betties at Bruisers (Dollinquents),no PTA,
6/3/2017,2017,Dave Brawlings,HR,Beauty School Dropouts at Greased Lightning (Adults),MVP the whole squad - smooth,
8/19/2017,2017,Paff Blue Ribbon,JR,Baby Dolls Season Preview,Flint Lock,1/2 game
8/19/2017,2017,Erin Judgement,OPR,Dollinquents Season Preview,Suzanne,1/2 game
8/19/2017,2017,Wayne no Regretzky,FPR,Wildfires & Sparks Season Preview,Paff Blue Ribbon,
9/16/2017,2017,Dave Brawlings,HR,Southwest Smackdown at Dollinquents,MVP Catherine at EYE,
9/16/2017,2017,Rush2Judge,PT,TTRB Ravenettes at Sparks,w/Magnificent Moose,
9/16/2017,2017,Infidel Castro,JR,Southwest Smackdown at Wildfires,w/Griffin,
11/11/2017,2017,Paff Blue Ribbon,JR,LADD Jr Riettes at Dollinquents,w/The Dude,
11/11/2017,2017,Dave Brawlings,HR,Bay Area Black Widows at Sparks,MVP Aces and Alix at PTA and WR,
11/11/2017,2017,Erin Judgement,FPR,LADD Traffic Jammers at Wildfires,w/Paff Blue Ribbon,Scoreboard was slow updating; did you turn it off and on again?
12/2/2017,2017,Paff Blue Ribbon,JR,QuadSquad at Dollinquents,w/FloBlock,
12/2/2017,2017,Erin Judgement,FPR,Legends Vistors at Legends Home,w/Rush2Judge,
1/27/2018,2018,Paff Blue Ribbon,JR,Shark Bites at Dollinquents,w/Justin Bibe,
1/27/2018,2018,Dave Brawlings,HR,Sea Gals at Sparks,MVP Fern at PT,
2/24/2018,2018,Erin Judgement,JR,Invaders at Sparks,w/Griffin,
3/10/2018,2018,Paff Blue Ribbon,JR,Black Widows at Sparks,w/Griffin,
3/10/2018,2018,Dave Brawlings,HR,Black Widows at Deadly Rival,MVP Heather at SB,
3/10/2018,2018,Erin Judgement,BPR,Deadly Rival at Sparks,w/Paff Blue Ribbon,
4/14/2018,2018,Mr. Everett,PT,Hot Shots at Wildfires,w/Scoldin' Caulfield,
4/14/2018,2018,The Dude Leboutski,JR,Hot Shots at Ri-Ettes,w/Hoover Slam,
4/14/2018,2018,Infidel Castro,FPR,Ri-Ettes at Wildfires,w/The Dude Leboutski,
3/23/2019,2019,Metalikyle,JR,Sparks at LA. Subpool,w/Marsha Law,At Dollhalla
4/13/2019,2019,Ridley Scorpio,FPR,Wildfires at Ri-ettes,w/Metalikyle,
5/25/2019,2019,Lollicop,FPR,Minor Assaults (AZDD) at Jr. Riettes,w/Metalikyle,
5/25/2019,2019,Lollicop,JR,Hotshots (AZDD) at Riettes,w/Tricki Ricardo,
9/7/2019,2019,Metalikyle,FPR,Derby United at LADD ,w/Griffin,
